id,host_location,host_neighbourhood,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365
2384,"Chicago, Illinois, United States",Hyde Park,"Chicago, Illinois, United States",Hyde Park,,41.7879,-87.5878,Private room in condominium,Private room,1,,1,1,$65.00,2,90,,t,0,0,0,0
4505,"Chicago, Illinois, United States",Little Village,,South Lawndale,,41.85373,-87.6954,Entire apartment,Entire home/apt,7,,3,5,$113.00,2,60,,t,0,7,35,180
7126,"Chicago, Illinois, United States",Ukrainian Village,"Chicago, Illinois, United States",West Town,,41.90166,-87.68021,Entire apartment,Entire home/apt,2,,1,1,$65.00,2,60,,t,11,11,11,267
9811,"Chicago, Illinois, United States",Old Town,"Chicago, Illinois, United States",Lincoln Park,,41.91943,-87.63898,Entire apartment,Entire home/apt,4,,1,2,$120.00,5,180,,t,1,1,1,1
10945,"Chicago, Illinois, United States",Old Town,,Lincoln Park,,41.91196,-87.63981,Entire apartment,Entire home/apt,4,,2,2,$175.00,4,180,,t,18,36,54,125
12068,"New York, New York, United States",Old Town,"Chicago, Illinois, United States",Near North Side,,41.90491,-87.63213,Entire condominium,Entire home/apt,2,,1,1,$99.00,7,180,,t,5,5,5,238
12140,"Chicago, Illinois, United States",Lincoln Park,"Chicago, Illinois, United States",Lincoln Park,,41.92357,-87.64947,Room in boutique hotel,Private room,2,,1,2,$289.00,2,7,,t,29,59,89,179
22362,"Chicago, Illinois, United States",West Town/Noble Square,"Chicago, Illinois, United States",West Town,,41.8973,-87.65889,Entire apartment,Entire home/apt,4,,2,2,$105.00,121,1125,,t,0,0,0,192
24833,"Chicago, Illinois, United States",Lincoln Park,"Chicago, Illinois, United States",Lincoln Park,,41.92714,-87.65529,Entire apartment,Entire home/apt,3,,1,1,$77.00,32,395,,t,19,49,79,353
25879,"Chicago, Illinois, United States",Lincoln Park,"Chicago, Illinois, United States",Lincoln Park,,41.92499,-87.65573,Entire apartment,Entire home/apt,6,,2,0,$94.00,32,300,,t,0,0,0,211
28749,Italy,Bucktown,,Logan Square,,41.92138,-87.67931,Entire loft,Entire home/apt,6,,3,3,$98.00,2,10,,t,15,15,40,311
37738,"Chicago, Illinois, United States",Andersonville,"Chicago, Illinois, United States",Uptown,,41.97303,-87.66567,Private room in house,Private room,2,,1,1,$110.00,3,1125,,t,0,0,0,0
67940,"Chicago, Illinois, United States",South Loop,"Chicago, Illinois, United States",Near South Side,,41.84576,-87.61871,Entire condominium,Entire home/apt,3,,1,2,$76.00,1,90,,t,0,6,23,272
71930,"Chicago, Illinois, United States",Ukrainian Village,"Chicago, Illinois, United States",West Town,,41.89615,-87.67934,Private room in apartment,Private room,2,,1,1,$59.00,2,90,,t,26,56,81,171
84042,"Chicago, Illinois, United States",Ukrainian Village,"Chicago, Illinois, United States",West Town,,41.89615,-87.67934,Private room in apartment,Private room,2,,1,1,$50.00,3,90,,t,3,8,19,185
126280,"Chicago, Illinois, United States",Uptown,"Chicago, Illinois, United States",Uptown,,41.96852,-87.65225,Private room in apartment,Private room,1,,1,1,$35.00,3,365,,t,0,0,0,138
144840,"Arlington Heights, Illinois, United States",Lakeview,"Chicago, Illinois, United States",Lake View,,41.94138,-87.65694,Entire apartment,Entire home/apt,8,,3,4,$175.00,2,730,,t,30,55,84,359
145659,"Chicago, Illinois, United States",Roscoe Village,"Chicago, Illinois, United States",North Center,,41.94342,-87.68121,Entire apartment,Entire home/apt,8,,3,3,$195.00,2,1125,,t,3,3,3,245
145690,"Chicago, Illinois, United States",Roscoe Village,"Chicago, Illinois, United States",Lincoln Park,,41.91289,-87.63864,Entire apartment,Entire home/apt,10,,4,4,$230.00,2,1125,,t,24,40,57,308
165952,"Chicago, Illinois, United States",Roscoe Village,,Lake View,,41.94222,-87.67193,Entire apartment,Entire home/apt,4,,2,2,$198.00,3,365,,t,24,50,80,355
166667,"Chicago, Illinois, United States",Roscoe Village,,Lake View,,41.94217,-87.67182,Entire apartment,Entire home/apt,3,,1,1,$125.00,3,365,,t,30,60,90,365
166706,"Chicago, Illinois, United States",Roscoe Village,"Chicago, Illinois, United States",Lake View,,41.9429,-87.67163,Entire apartment,Entire home/apt,8,,3,3,$280.00,3,365,,t,30,60,90,365
175511,"Chicago, Illinois, United States",Irving Park,"Chicago, Illinois, United States",Albany Park,,41.96213,-87.72002,Entire condominium,Entire home/apt,2,,1,1,$59.00,28,365,,t,0,0,0,35
189821,"Chicago, Illinois, United States",Logan Square,"Chicago, Illinois, United States",Logan Square,,41.92918,-87.70219,Entire apartment,Entire home/apt,5,,2,3,$172.00,3,1125,,t,9,17,33,87
198135,"Chicago, Illinois, United States",North Center,"Chicago, Illinois, United States",North Center,,41.95888,-87.67776,Private room in apartment,Private room,1,,1,1,$35.00,3,120,,t,6,13,34,77
207218,"Chicago, Illinois, United States",Pullman,"Chicago, Illinois, United States",Pullman,,41.68843,-87.60712,Entire apartment,Entire home/apt,3,,1,1,$90.00,2,1125,,t,0,0,0,264
207351,"Chicago, Illinois, United States",Pullman,"Chicago, Illinois, United States",Pullman,,41.68954,-87.60786,Entire apartment,Entire home/apt,1,,1,1,$40.00,30,90,,t,0,20,50,139
225314,"Chicago, Illinois, United States",Logan Square,"Chicago, Illinois, United States",Logan Square,,41.92589,-87.69737,Private room in house,Private room,1,,1,1,$79.00,2,7,,t,23,53,83,358
230836,"Chicago, Illinois, United States",Uptown,,Uptown,,41.96313,-87.66235,Private room in condominium,Private room,2,,1,1,$125.00,365,365,,t,30,60,90,365
250354,"Chicago, Illinois, United States",South Loop/Printers Row,"Chicago, Illinois, United States",Near South Side,,41.85923,-87.62198,Entire condominium,Entire home/apt,2,,1,1,$170.00,180,365,,t,24,54,84,359
258253,"Chicago, Illinois, United States",West Ridge,"Chicago, Illinois, United States",West Ridge,,42.0076,-87.6825,Entire apartment,Entire home/apt,2,,1,1,$48.00,32,90,,t,0,0,3,244
261509,"Chicago, Illinois, United States",River North,,Near North Side,,41.90212,-87.63557,Entire apartment,Entire home/apt,2,,1,1,$119.00,32,1125,,t,8,8,25,300
264547,"Chicago, Illinois, United States",West Loop/Greektown,"Chicago, Illinois, United States",Near West Side,,41.88413,-87.64315,Entire condominium,Entire home/apt,3,,2,2,$204.00,10,180,,t,27,57,87,362
267646,"Chicago, Illinois, United States",Logan Square,"Chicago, Illinois, United States",Logan Square,,41.92666,-87.70601,Private room in bungalow,Private room,2,,1,1,$103.00,2,365,,t,28,58,88,363
275496,"Chicago, Illinois, United States",West Loop/Greektown,"Chicago, Illinois, United States",Near West Side,,41.88567,-87.64052,Entire loft,Entire home/apt,6,,3,3,$156.00,360,760,,t,29,59,89,364
